,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
0,80.0,,71.4,75.0,,,,,71.2,,23.1,71.2,33.3,,,,,33.3,31.6,25.0,79.7,45.5,,75.0,50.0,,60.0,,,,,100.0,75.0,71.9,,,40.0,50.0,,,,93.3,66.7,,,,100.0,20.0,50.0,57.9,70.3,53.8,40.0,,70.9,49.4,,80.0,75.0,,,71.4,50.0,,61.5,66.7,,49.4,100.0,,,22.2,,70.2,58.3,40.0,,71.7,,,75.0,14.3,,25.0,,42.9,,72.3,80.0,,,,63.6,70.2,74.2,,,,,0.0,11.1,83.3,,,58.3,0.0,47.1,71.2,77.8,100.0,72.5,70.9,,,57.1,50.0,,,,70.2,77.8,50.0,,
1,20.0,,12.1,25.0,,,,,11.6,,69.2,11.6,66.7,,,,,66.7,57.9,62.5,12.5,45.5,,25.0,50.0,,40.0,,,,,0.0,0.0,21.9,,,40.0,50.0,,,,6.7,22.2,,,,0.0,60.0,25.0,26.3,13.3,38.5,60.0,,11.8,21.5,,20.0,25.0,,,12.1,25.0,,11.5,22.2,,25.3,0.0,,,55.6,,11.8,33.3,30.0,,11.8,,,25.0,71.4,,62.5,,28.6,,15.1,20.0,,,,36.4,11.8,13.5,,,,,100.0,88.9,0.0,,,37.5,75.0,29.4,11.6,11.1,0.0,13.7,11.8,,,0.0,25.0,,,,11.8,22.2,25.0,,
2,0.0,,16.5,0.0,,,,,17.3,,7.7,17.3,0.0,,,,,0.0,10.5,12.5,7.8,9.1,,0.0,0.0,,0.0,,,,,0.0,25.0,6.2,,,20.0,0.0,,,,0.0,11.1,,,,0.0,20.0,25.0,15.8,16.4,7.7,0.0,,17.3,29.1,,0.0,0.0,,,16.5,25.0,,26.9,11.1,,25.3,0.0,,,22.2,,18.0,8.3,30.0,,16.5,,,0.0,14.3,,12.5,,28.6,,12.6,0.0,,,,0.0,18.0,12.4,,,,,0.0,0.0,16.7,,,4.2,25.0,23.5,17.3,11.1,0.0,13.7,17.3,,,42.9,25.0,,,,18.0,0.0,25.0,,
